directors,averageRating,meanofRatingNum,sumofRatingNum,primaryName,famous1_name,famous2_name,famous3_name
nm0202085,5.7,55,55,Kihachi Okamoto,Fort Graveyard,The Human Bullet,Dai yûkai
nm0202088,7.2,5042,1552945,Sergey Nikonenko,Yolki-palki,Khochu vashego muzha,Klassik
nm0202176,8.2,87,175,Lionel Jeffries,The Amazing Mr. Blunden,First Men in the Moon,Camelot
nm0202425,4.8,92,92,José Luis García Sánchez,Belle Epoque,Goodbye from the Heart,Tramway to Malvarrosa
nm0202555,6.3,14,84,José Giovanni,My Friend the Traitor,Le Rapace,Where Did Tom Go?
nm0202640,6.9,197,2372,Eldor Urazbaev,Smotri v oba!,Inspektor GAI,Khagi-tragger
nm0202681,6.8,3284,1619252,Wim Verstappen,Blue Movie,Confessions of Loving Couples,Grijpstra & De Gier
nm0202842,6.6,917,18341,Jason Reitman,Thank You for Smoking,Up in the Air,Juno
nm0202968,7.6,9,19,Claude Pinoteau,La 7ème cible,The Slap,Cache Cash
nm0202995,6.4,9,76,Diane Kurys,For a Woman,A Man in Love,Peppermint Soda
nm0203194,6.1,256,2825,Kei Kumai,A Chain of Islands,The Long Darkness,Sandakan 8
nm0203246,5.4,1796,305347,Vladimir Vengerov,Gorod zazhigaet ogni,Baltiyskoe nebo - 2 seriya,Porozhniy reys
nm0203285,6.3,11,34,Luís Filipe Rocha,A Outra Margem,Cerromaior,A Passagem da Noite
nm0203370,7.7,29,29,Michel Lang,Let's Get Those English Girls,Holiday Hotel,On n'est pas des anges... elles non plus
nm0203390,7.2,563,2254,Daniel Schmid,La Paloma,Shadow of Angels,Jenatsch
nm0203400,7.5,1100,27522,Don Coscarelli,Bubba Ho-Tep,The Beastmaster,Phantasm
nm0203716,6.5,6,6,Ossie Davis,Bubba Ho-Tep,Do the Right Thing,Grumpy Old Men
nm0203919,7.6,79,398,Darnell Martin,I Like It Like That,Do the Right Thing,Cadillac Records
nm0203936,6.9,14,56,Siu Ming Tsui,Hai shi shen lou,Twins Mission,Champions
nm0203993,6.9,5565,467537,Peter Del Monte,Traveling Companion,Little Flames,Against the Wind
nm0204016,6.7,990,12870,Dshamjangijn Buntar,The Year of the Solar Eclipse,Iskhod,Der Scout
nm0204049,7.2,68,68,José Pinheiro,Let Sleeping Cops Lie,Parole de flic,"Mon bel amour, ma déchirure"
nm0204057,6.6,16,48,Lyman Dayton,The Avenging,Last Resort,Dream Machine
nm0204501,4.9,29,411,Alain Corneau,Fear and Trembling,Tous les matins du monde,Police Python 357
nm0204629,4.4,272,2448,Henri Safran,Storm Boy,Norman Loves Rose,The Wild Duck
nm0204683,6.0,101,304,Christopher Cain,September Dawn,Young Guns,Pure Country 2: The Gift
nm0204720,5.8,2132,4264,András Kovács,Ideiglenes paradicsom,A ménesgazda,Blindfold
nm0204864,6.7,19,19,Paul Mazursky,An Unmarried Woman,Bob & Carol & Ted & Alice,Harry and Tonto
nm0204894,7.6,11,23,Jan Egleson,A Shock to the System,The Blue Diner,Lemon Sky
nm0204934,7.0,455,10477,John Byrum,Heart Beat,Inserts,The Razor's Edge
nm0204989,6.0,65,130,Andrey Ladynin,Semeynoe schaste,V poslednyuyu ochered,Pyat minut strakha
